molecule_smi,active
C=C1C(=O)OC2CC(C)C3C=CC(=O)C3(C)C(O)C12,1.0
C=C1C(=O)OC2CC(C)C3C=CC(=O)C3(C)C(OC(=O)CC(=O)OC3C4C(=C)C(=O)OC4CC(C)C4C=CC(=O)C43C)C12,1.0
C=C1C(=O)OC2CC(C)C3C=CC(=O)C3(C)C(OC(C)=O)C12,1.0
C=C1C(=O)OC2CC(C)C3C=CC(=O)C3(C)CC12,1.0
C=C1C(=O)OC2CC(C)C3C=CC(=O)C3(O)CC12,1.0
C=C1C(=O)OC2CC1C(O)CC(C)=CCCC(C)=CC(O)CC2C,1.0
C=C1C(=O)OC2CC1C(OC(C)=O)CC(C)=CCCC(C)=CCCC2(C)O,1.0
C=C1C(=O)OC2CC3(C)C(O)CCC(C)(O)C3C(OC(=O)C(C)=CC)C12,1.0
C=C1C(=O)OC2CC3(C)OC3CCC(C)=CC(OC(C)=O)C12,1.0
C=C1C(=O)OCC2C(C(=O)O)=CC3C(C)C(C)=CC123,1.0
C=C1C(O)C2OC3(CCC(C=CC(C)C4CC(C)=CC5(OC(CC(C)(O)C(=O)O)CCC5O)O4)O3)CCC2OC1C(O)CC(C)C1OC2(CCCCO2)CCC1C,1.0
C=C1C(O)C2OC3(CCC(C=CC(C)C4CC(C)=CC5(OC(CC(C)(O)C(=O)OC)CCC5O)O4)O3)CCC2OC1C(O)CC(C)C1OC2(CCCCO2)CCC1C,1.0
C=C1C(O)C2OC3(CCC(C=CC(C)C4CC(C)=CC5(OC(CC(C)(O)CO)CCC5O)O4)O3)CCC2OC1C(O)CC(C)C1OC2(CCCCO2)CCC1C,1.0
C=C1C(OC(C)=O)CCC2(C)C1CC1CC(OC(C)=O)C(C)=C(C(OC(C)=O)C2OC(C)=O)C1(C)C,1.0
C=C1C2CCC3C(O)C2(CC(O)C2(O)C1CC(O)C2(C)C)CC3(C)O,1.0
C=C1C=C(C)C(C)(O)CC(O)CC(=O)C(O)C(O)C(C)CC(C)OC(=O)C(C)=CCCC=CC(OC)C(O)CC(C)C1,1.0
C=C1C=CC(C(C)CC(=O)C=C(C)C)CC1,1.0
C=C1CC(CCCC)OC1=O,1.0
C=C1CC(COc2cc(=O)oc3ccccc23)(c2ccccc2)OC1=O,1.0
C=C1CC2(CC(c3ccccc3)OC(c3ccccc3)C2)OC1=O,1.0
C=C1CC2(O)C3(C)CCC(=O)C(C)(C)C3=C(O)C(=O)C2(C)C2C(=O)OC(C)(C(=O)OC)C(=O)C12C,1.0
C=C1CC2(OC1=O)c1ccccc1CCc1ccccc12,1.0
C=C1CC23CCC4C(C)(C(=O)OC)CCCC4(C)C2CCC1(OC(C)=O)C3,1.0
C=C1CC2C(CC(O)C3(C)C2CCC32OCOC23COCO3)C2(C)CCC(=O)C=C12,1.0
C=C1CC2C(CCC3(C)C2CCC3(O)C(C)=O)C2(C)CCC(=O)C=C12,1.0
C=C1CC2C3C=C(C)C4=CC(=O)CCC4(C)C3CCC2(C)C1(OC(C)=O)C(C)=O,1.0
C=C1CCC(O)CC1=CC=C1CCCC2(C)C1CCC2C(C)CCCC(C)C,1.0
C=C1CCC2C(C)(C)C(O)CCC2(C)C1COc1cc(=O)oc2ccccc12,1.0
C=C1CCC2C(C)(C)C(O)CCC2(C)C1COc1ccc2ccc(=O)oc2c1,1.0
C=C1CCC2C(C)(CO)C(O)CCC2(C)C1C=CC1=CCOC1=O,1.0
C=C1CCC2C(C)(CO)C(O)CCC2(C)C1CC=C1C(=O)OCC1O,1.0
C=CC(=C)CCC1C(C)(O)CC(O)C2C(C)(CO)CCCC12C,1.0
C=CC(=O)CC,1.0
C=CC(=O)OCC(C)OCC(C)OCC(C)OC(=O)C=C,1.0
C=CC(=O)OCC(CC)(COC(=O)C=C)COC(=O)C=C,1.0
C=CC(=O)OCC(CO)(COC(=O)C=C)COC(=O)C=C,1.0
C=CC(=O)OCCCCCCOC(=O)C=C,1.0
C=CC(=O)OCCO,1.0
C=CC(=O)OCCOCC(CC)(COCCOC(=O)C=C)COCCOC(=O)C=C,1.0
C=CC(=O)OCCOCCOC(=O)C=C,1.0
C=CC(=O)OCCOCCOCCOCCOC(=O)C=C,1.0
C=CC(=O)OCCOc1ccccc1,1.0
C=CC(C)(C)OC1OC(CO)C(O)C(O)C1O,1.0
C=CC(C)(C)c1c(O)c(CC=C(C)C)c(O)c2c(=O)c3ccc(O)c(O)c3oc12,1.0
C=CC(C)(C)c1c(O)cc(OC)c2cc(-c3ccc(O)cc3O)c(=O)oc12,1.0
C=CC(C)(C)c1cc(C=CC(=O)c2ccc(O)c(O)c2)c(OC)cc1O,1.0
C=CC(C)(C)c1cc(C=CC(=O)c2ccc(O)cc2)c(OC)c(O)c1O,1.0
C=CC(C)(C)c1cc(C=CC(=O)c2ccc(O)cc2)c(OC)cc1O,1.0
C=CC1(C)C=C2CCC3C(C)(C(=O)O)CCCC3(C)C2CC1,1.0
C=CC1(C)CC(=O)C2(O)C(C)(O1)C(OC(C)=O)C(O)C1C(C)(C)CCC(O)C12C,1.0
C=CC=O,1.0
C=CCC1=C(C)C(OC(=O)C2C(C=C(C)C)C2(C)C)CC1=O,1.0
C=CCC1CC(C)(C)C=C(C(=O)OC)C1=O,1.0
C=CCCC,1.0
C=CCCCCCC,1.0
C=CCCCCCCC=C,1.0
C=CCCCCCCCCCCCC,1.0
C=CCOC(=O)C(=O)C=Cc1ccc2c(c1)Cc1ccccc1-2,1.0
C=CCOC(=O)C1=CC(C)(C)CCC1=O,1.0
C=CCOC(=O)C1=CC(c2coc3ccccc3c2=O)CC(OCc2ccc(CO)cc2)O1,1.0
C=CCOC(=O)c1ccccc1C(=O)OCC=C,1.0
C=CCOc1ccc2c(c1)CCC1C2CCC2(C)C(O)C(O)CC12,1.0
C=CCc1cc(C=O)cc(OC)c1OCc1ccc(C(=O)O)cc1,1.0
C=CCc1ccc(O)c(-c2cc(CC=C)ccc2O)c1,1.0
C=CCc1ccc(OC)c(OC)c1,1.0
C=CCc1ccc(OCC(O)COCC)c(OC)c1,1.0
C=CCc1ccc(OCCCCOc2ccc(C(=O)O)cc2)c(OC)c1,1.0
C=CCc1ccc(OCCCOc2ccc(C)cc2OC)c(OC)c1,1.0
C=CCc1ccc(OCc2ccc(C(=O)O)o2)c(OC)c1,1.0
C=CCc1ccc(OCc2ccc(C(=O)OC)o2)c(OC)c1,1.0
C=CCc1ccc2c(c1)OCO2,1.0
C=CCc1cccc2cc(C(=O)OCC)c(=O)oc12,1.0
C=COC(C)=O,1.0
C=Cc1cc(OC)c2c(c1)c(=O)oc1c2cc(OC)c2c(O)ccc(C3OC(C)C(O)C(C)(O)C3O)c21,1.0
C=Cc1ccccc1,1.0
C=Cc1ccccc1C=C,1.0
CC#CC#Cc1cccc(=O)o1,1.0
CC(=CC(=O)O)C(=Cc1ccccc1)C(=O)O,1.0
CC(=CC(=O)c1ccccc1)c1ccccc1,1.0
CC(=CC1CCC(C)C2CCC(C)=C12)C(=O)O,1.0
CC(=CCOc1ccc2ccc(=O)oc2c1)C1=CC(=O)C(C)(C)O1,1.0
CC(=CCc1c(O)ccc(C(=O)C=Cc2ccc(O)cc2)c1O)CC(=O)C=Cc1ccc(O)cc1,1.0
CC(=CCc1c(O)ccc(C(=O)C=Cc2ccc(O)cc2)c1O)CO,1.0
CC(=CCc1c(O)ccc(C(=O)C=Cc2ccc(O)cc2O)c1O)CC(=O)C=Cc1ccc(O)cc1,1.0
CC(=CCc1c(O)ccc(C(=O)C=Cc2ccc(O)cc2O)c1O)CO,1.0
CC(=Cc1ccc(C(=O)O)cc1)c1ccc2c(c1)C(C)(C)CCC2(C)C,1.0
CC(=O)C(=Cc1ccccc1)c1ccccc1,1.0
CC(=O)C(C)=O,1.0
CC(=O)C1(C)CCC2C3C=C(C)C4=CC(=O)CCC4(C)C3CCC21C,1.0
CC(=O)C1(O)C(C)CC2C3CCC4CC(O)CCC4(C)C3=CCC21C,1.0
CC(=O)C1(O)CCC2C3CCC4=CC(=O)CCC4(C)C3C(O)CC21C,1.0
CC(=O)C1(O)CCC2C3CCC4=CC(=O)CCC4(C)C3CCC21C,1.0
CC(=O)C1(O)CCC2C3CCC4CC(O)CCC4(C)C3CCC21C,1.0
CC(=O)C12CC(C)=C(C)CC1CC1C3CCC4=CC(=O)CCC4(C)C3CCC12C,1.0
CC(=O)C12CCCCC1CC1C3CC(C)C4(O)CC(=O)CCC4(C)C3CCC12C,1.0
CC(=O)C12CCCCC1CC1C3CC(C)C4=CC(=O)CCC4(C)C3CCC12C,1.0
CC(=O)C1=C(C)OC2(O)c3ccccc3C(=O)C12O,1.0
CC(=O)C1CCC2C3C=CC4=CC(=O)CCC4(C)C3CCC12C,1.0
CC(=O)C1CCC2C3CC(C)C4=CC(=O)CCC4(C)C3C(O)CC12C,1.0
CC(=O)C1CCC2C3CCC4=CC(=O)C=CC4(C)C3CCC12C,1.0
CC(=O)C1CCC2C3CCC4=CC(=O)CCC4(C)C3CCC12C,1.0
CC(=O)C1CCC2C3CCC4CC(=O)CCC4(C)C3C(O)CC12C,1.0
CC(=O)C1CCC2C3CCC4CC(C)(O)CCC4(C)C3CCC12C,1.0
CC(=O)C1CCC2C3CCC4CC(O)CCC4(C)C3C(=O)CC12C,1.0
CC(=O)C=Cc1ccccc1O,1.0
CC(=O)CC(O)CC(=O)C1OC(=O)C(C)CC=CCc2ccccc21,1.0
CC(=O)CCC1C2C(O)C(C(C)C)C(OC(=O)C=Cc3ccccc3)CC12C,1.0
CC(=O)CCc1oc2ccc(C)cc2c1-c1ccc(C)o1,1.0
CC(=O)COc1cc(=O)oc2ccccc12,1.0
CC(=O)COc1cc2c(-c3cc4ccccc4o3)cc(=O)oc2cc1C,1.0
CC(=O)COc1cc2ccccc2oc1=O,1.0
CC(=O)COc1ccc2c(-c3ccccc3)cc(=O)oc2c1C,1.0
CC(=O)COc1ccc2c(C)c(-c3ccccc3)c(=O)oc2c1,1.0
CC(=O)COc1ccc2c(c1C)OC(=Cc1ccco1)C2=O,1.0
CC(=O)COc1ccc2c3c(c(=O)oc2c1)CCCCC3,1.0
CC(=O)COc1ccc2cc(-c3ccccc3)c(=O)oc2c1,1.0
CC(=O)COc1ccc2ccc(=O)oc2c1,1.0
CC(=O)COc1ccc2oc(=O)ccc2c1,1.0
CC(=O)OC(C)(C)C=CC(=O)C(C)(O)C1C(O)CC2(C)C3CC=C4C(CC(O)C(=O)C4(C)C)C3(C)C(=O)CC12C,1.0
CC(=O)OC(C)(C)C=CC(=O)C(C)(O)C1C(O)CC2(C)C3CC=C4C(CCC(O)C4(C)C)C3(CO)C(=O)CC12C,1.0
CC(=O)OC(CC(C)C1=C2CC(O)C3C4(C)CCC(=O)C(C)(C)C4CCC3(C)C2(C)CC1)C1OC1(C)C,1.0
CC(=O)OC(COc1c2ccoc2cc2oc(=O)ccc12)C(C)(C)O,1.0
CC(=O)OC1(C(C)=O)CCC2C3C=C(C)C4=CC(=O)CCC4(C)C3CCC21C,1.0
CC(=O)OC1(C(C)=O)CCC2C3C=C(C)C4=CC(=O)CCC4C3CCC21C,1.0
CC(=O)OC1(C(C)=O)CCC2C3C=CC4=CC(=O)C=CC4(C)C3CCC21C,1.0
CC(=O)OC1(C(C)=O)CCC2C3CC(C)C4=CC(=O)CCC4(C)C3CCC21C,1.0
CC(=O)OC1C(=O)OCC23CCC4(C)OC4C2OC2CC(OC(=O)C=CC=CC(=O)OCCC1C)C3(C)C21CO1,1.0
CC(=O)OC1C(O)C(C)OC(OC2C(OC(=O)C3CCC4C(C3)OC3(CC(OC(=O)C=Cc5ccccc5)C(C)CO3)C43CO3)OC(C)C(O)C2OC(C)=O)C1O,1.0
CC(=O)OC1C(c2ccc(=O)oc2)C2(C)CCC3C(CCC4(O)CC(O)CCC34C)C23OC13,1.0
CC(=O)OC1C=COC(C)C1OC(C)=O,1.0
CC(=O)OC1CC(C)(C)C(=C=CC(C)=CC=CC(C)=CC=CC=C(C)C=CC=C(C)C(=O)CC23OC2(C)CC(O)CC3(C)C)C(C)(O)C1,1.0
CC(=O)OC1CC(C)OC(C)O1,1.0
CC(=O)OC1CC(OC2C(O)CC(OC3C(O)CC(OC4CCC5(C)C(CCC6C5CC(O)C5(C)C(C7=CC(=O)OC7)CCC65O)C4)OC3C)OC2C)OC(C)C1OC1OC(CO)C(O)C(O)C1O,1.0
CC(=O)OC1CC(OC2C(O)CC(OC3C(O)CC(OC4CCC5(C)C(CCC6C5CCC5(C)C(C7=CC(=O)OC7)CCC65O)C4)OC3C)OC2C)OC(C)C1OC1OC(CO)C(O)C(O)C1O,1.0
CC(=O)OC1CC(OC2C(O)CC(OC3C(O)CC(OC4CCC5(C)C(CCC6C5CCC5(O)C(C7=CC(=O)OC7)CCC65O)C4)OC3C)OC2C)OC(C)C1OC1OC(CO)C(O)C(O)C1O,1.0
CC(=O)OC1CC2(C)C(=O)CCC2C2CCc3cc(O)ccc3C12,1.0
CC(=O)OC1CC2(O)C3CCC4CC(O)CCC4(C)C3CCC2(C)C1C1=CC(=O)OC1,1.0
CC(=O)OC1CC23CC24CCC(OC2OCC(O)C(O)C2O)C(C)(C)C4CCC3C2(C)CC3OC4(CC(C)C3C12C)OC(O)C1(C)OC41,0.6666666666666666
CC(=O)OC1CC2C(C)(C)C(=O)C=CC2(C)C2CCC3(C)C(c4ccoc4)OC(=O)C4OC43C12C,1.0
CC(=O)OC1CC2OC3C=C(C)CCC3(C)C1(C)C21CO1,1.0
CC(=O)OC1CCC2(C)C(CCC3C4CC=C(C(C)=O)C4(C)OC(=O)CC32)C1,1.0
CC(=O)OC1CCC2(C)C(COc3ccc4ccc(=O)oc4c3)C(C)(O)CCC2C1(C)C,1.0
CC(=O)OC1CCC2(C=O)C3CCC4(C)C(C5=CC(=O)OC5)CCC4(O)C3CCC2(O)C1,1.0
CC(=O)OC1CCC2C3CCC4=CC(=O)CCC4=C3C=CC12C,1.0
CC(=O)OC1CCC2C3CCc4cc(O)ccc4C3CCC12C,1.0
CC(=O)OC1c2ccccc2-c2ccccc2C1OC(C)=O,1.0
CC(=O)OCC(=O)C1(O)CCC2C3CC(C)C4=CC(=O)C=CC4(C)C3=CCC21C,1.0
CC(=O)OCC(=O)C1(O)CCC2C3CC(C)C4=CC(=O)C=CC4(C)C3C(O)CC21C,1.0
CC(=O)OCC(=O)C1(O)CCC2C3CC(C)C4=CC(=O)CCC4(C)C3C(O)CC21C,1.0
CC(=O)OCC(=O)C1(O)CCC2C3CCC4=CC(=O)C=CC4(C)C3C(=O)CC21C,1.0
CC(=O)OCC(=O)C1(O)CCC2C3CCC4=CC(=O)C=CC4(C)C3C(O)CC21C,1.0
CC(=O)OCC(=O)C1(O)CCC2C3CCC4=CC(=O)CCC4(C)C3C(O)CC21C,1.0
CC(=O)OCC(COC(C)=O)OC(C)=O,1.0
CC(=O)OCC1(O)CC23CCC4c5ccoc5CCC4(C)C2CCC1C3,1.0
CC(=O)OCC12CC(OC(=O)CC(C)C)C(C)=CC1OC1C(O)C(OC(C)=O)C2(C)C12CO2,1.0
CC(=O)OCC12CCC(C)=CC1OC1C(O)C(OC(C)=O)C2(C)C12CO2,1.0
CC(=O)OCC=C(C)C=CC=C(C)C=CC1=C(C)CCCC1(C)C,1.0
CC(=O)OCC=C(C)CCC=C(C)C,1.0
CC(=O)OCC=C1CCC2C3CC(C)C4=CC(=O)CCC4(C)C3C(O)CC12C,1.0
CC(=O)OCc1ccccc1,1.0
CC(=O)Oc1c(-c2ccco2)oc2ccccc2c1=O,1.0
CC(=O)Oc1c(C)c(OC(C)=O)c2c(c1C(C)=O)OC1CC(=O)C(C(C)=O)=C(O)C21C,1.0
CC(=O)Oc1cc(OC(C)=O)c2c(=O)c(-c3ccc4c(c3)OCCCO4)c(C)oc2c1,1.0
CC(=O)Oc1cc2c(c3ccccc13)CCC2=O,1.0
CC(=O)Oc1ccc(C23c4ccccc4C2(OC(C)=O)c2cc(OC(C)=O)ccc23)cc1,1.0
CC(=O)Oc1ccc(C2=Cc3ccc(OC(C)=O)cc3OC2C)cc1,1.0
CC(=O)Oc1ccc(C2COc3c(ccc4c3C=CC(C)(C)O4)C2)c(OC(C)=O)c1,1.0
CC(=O)Oc1ccc(C=C2CCc3ccccc3C2=O)cc1,1.0
CC(=O)Oc1ccc(C=C2Oc3ccccc3C2=O)cc1,1.0
CC(=O)Oc1ccc(OC(C)=O)c2c1C1C=CC2CC1,1.0
CC(=O)Oc1ccc2c(=O)c(-c3ccccc3)coc2c1,1.0
CC(=O)Oc1ccc2c(c1)CCC1C2CCC2(C)C(OC(C)=O)CCC12,1.0
CC(=O)Oc1ccc2ccc3ccc(C(C)=O)cc3c2c1,1.0
CC(=O)Oc1cccc2c1C(=O)c1c(OC(C)=O)cc(C(=O)O)cc1C2=O,1.0
CC(=O)c1c(O)c(C)c(O)c(Cc2c(O)c3c(c(C(=O)C=Cc4ccccc4)c2O)OC(C)(C)C=C3)c1O,1.0
CC(=O)c1c(O)cc(O)c(C(C)=O)c1O,1.0
CC(=O)c1cc(C)c(OC(=O)c2ccccc2)c(C)c1,1.0
CC(=O)c1cc(CC=C(C)C)c(O)cc1O,1.0
CC(=O)c1cc(O)c2ccccc2c1O,1.0
CC(=O)c1ccc(-c2ccc(-c3cc(=O)oc4c(C(C)C)ccc(C)c34)cc2)cc1,1.0
CC(=O)c1ccc(-c2cccc(-c3cc(=O)oc4ccc(C(C)(C)C)cc34)c2)cc1,1.0
CC(=O)c1ccc(OCc2ccc(C(=O)c3ccccc3)cc2)cc1,1.0
CC(=O)c1ccc(OCc2ccccc2)c(C)c1O,1.0
CC(=O)c1ccc(Oc2ccc(C(C)=O)cc2)cc1,1.0
CC(=O)c1ccc2c(c1)CC1(C2)Cc2cc3c(cc2C1)C(=O)CC3,1.0
CC(=O)c1ccc2c(c1)Cc1cc(C(C)=O)ccc1-2,1.0
CC(=O)c1ccc2c(c1)OCCOCCOc1ccc(C(C)=O)cc1OCCOCCO2,1.0
CC(=O)c1ccc2c(c1)OCCOCCOc1ccccc1OCCOCCO2,1.0
CC(=O)c1ccc2c(ccc3ccccc32)c1,1.0
CC(=O)c1ccccc1OC(=O)c1ccco1,1.0
CC(=O)c1ccccc1OCCOCCOc1ccccc1C(C)=O,1.0
CC(=O)c1ccccc1OCc1ccc(C(=O)c2ccccc2)cc1,1.0
CC(=O)c1coc2c1cc(O)c1ccccc12,1.0
CC(C(=O)CCc1ccccc1)C(=O)CCc1ccccc1,1.0
CC(C)(C#CC(=O)O)OOC(c1ccccc1)(c1ccccc1)c1ccccc1,1.0
CC(C)(C(=O)C=Cc1ccc(O)c(O)c1)C(=O)C=Cc1ccc(O)c(O)c1,0.5
CC(C)(C(=O)C=Cc1ccc(O)c(O)c1)C(=O)CCc1ccc(O)c(O)c1,0.2
CC(C)(C(=O)C=Cc1ccccc1)C(=O)C=Cc1ccccc1,0.2
CC(C)(C(=O)C=Cc1ccccc1O)C(=O)C=Cc1ccccc1O,1.0
CC(C)(C)C(=O)C1C(=O)c2ccccc2C1=O,1.0
CC(C)(C)C1=CC(=O)C(=O)C(C(C)(C)C)=C1,1.0
CC(C)(C)C1=CC(=O)C=CC1=O,1.0
CC(C)(C)C1CC(=Cc2ccco2)C(=O)C(=Cc2ccco2)C1,1.0
CC(C)(C)CC(C)(C)c1ccc(OCCO)cc1,1.0
CC(C)(C)OC(=O)COc1cc(O)c2c(=O)cc(-c3ccccc3)oc2c1,1.0
CC(C)(C)OC(=O)COc1cc(OCC(=O)OC(C)(C)C)c2c(=O)cc(-c3ccccc3)oc2c1,1.0
CC(C)(C)OCC1CO1,1.0
CC(C)(C)OOC(=O)c1ccccc1,1.0
CC(C)(C)c1cc(O)ccc1O,0.9861111111111112
CC(C)(C)c1cc(OC(=O)C2CCCC2)ccc1O,1.0
CC(C)(C)c1ccc(C(=O)Oc2ccc3c(c2)OCC3=O)cc1,1.0
CC(C)(C)c1ccc(O)c(O)c1,1.0
CC(C)(C)c1ccc(OCC2CO2)cc1,1.0
CC(C)(C)c1ccc(Oc2coc3cc(OCC(=O)O)ccc3c2=O)cc1,1.0
CC(C)(C)c1ccc2c(c1)C(=O)c1ccccc1C2=O,1.0
CC(C)(COCC1CO1)COCC1CO1,1.0
CC(C)(O)C1Cc2cc(C=CC(=O)O)c(O)cc2O1,1.0
CC(C)(O)C=CC(=O)C(C)(O)C1C(O)CC2(C)C3CC=C4C(C=C(O)C(=O)C4(C)C)C3(C)C(=O)CC12C,1.0
CC(C)(O)C=CC(=O)C(C)(O)C1C(O)CC2(C)C3CC=C4C(CC(O)C(O)C4(C)C)C3(C)C(=O)CC12C,1.0
CC(C)(OO)c1ccccc1,1.0
CC(C)(OOC(C)(C)c1ccccc1)c1ccccc1,1.0
CC(C)(c1ccc(O)cc1)c1ccc(O)cc1,1.0
CC(C)(c1ccc(OCC2CO2)cc1)c1ccc(OCC2CO2)cc1,1.0
CC(C)(c1ccccc1)c1ccc(O)cc1,1.0
CC(C)(c1ccccc1)c1ccc(OCc2ccc(C(=O)O)o2)cc1,1.0
CC(C)=CC(=O)OC1Cc2cc3ccc(=O)oc3cc2OC1(C)C,1.0
CC(C)=CC(O)CC(C)=CCOc1ccc2ccc(=O)oc2c1,1.0
CC(C)=CC1C(C(=O)OCc2coc(Cc3ccccc3)c2)C1(C)C,1.0
